job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30696894,Kids Fashion Designer,H & M Hennes & Mauritz Gbc AB,en,False,,,,,,"Job Description   We’re looking for bold and creative Kids Fashion Designers to join us at H&M Kids — for both current and future opportunities. As part of our Design team, you’ll shape a dedicated product area across this customer group - creating fashion that reaches customers around the world.  I..."
30696863,AI Platform Architect,Incluso AB,en,False,,,,,,"We are looking for an AI Platform Architect for a company in Stockholm. Start ASAP, 6-month limited contract to begin with.   Detailed description of work task to be carried out - Detail out architectural roadmap for agentic AI in enterprise - Create requirements for cloud based AI platforms includi..."
30696415,Junior Analysts | Deals and Corporate Finance,Öhrlings PricewaterhouseCoopers AB,en,False,,,,,,"At PwC, you’ll join a global network where expertise, innovation and collaboration come together to create impact. Whether your interests are sustainability, AI or financial analysis, we offer an environment where you can grow and reach your full potential. Our shared goal is clear: to build trust, ..."
30696676,Servicetekniker Kyla till Coromatic,Coromatic AB,en,False,,,,,,Trivs du med att arbeta med engagerade och kunniga kollegor som delar med sig och hjälper varandra? Vill du jobba i en organisation som genomsyras av förtroende och frihet under ansvar? Hos oss på Coromatic erbjuds du ett ansvarsfullt och utvecklande jobb där du får vara med och bidra till att verks...
30696610,RF Power Amplifier and RFIC Design Expert,Incluso AB,en,False,,,,,,"We seek an expert in high-efficiency wideband power amplifier and IC (integrated circuit) design in mobile and terminal applications to join the Huawei Gothenburg research center.   As a technical expert, you are expected to technically lead and participate in the RF frontend circuit design-related ..."
30696575,Hardware Security Research Engineer,Incluso AB,en,False,,,,,,"We are seeking a visionary and hands-on Hardware Security Research Engineer to join Huawei´s security team in Aalborg, Denmark. In this role, you will act as a bridge between future-looking security research and practical technical implementation. Your primary mission is to provide deep insights int..."
30696514,We are looking for you— an amazing female care assistant for extra shifts!,Fri Assistans STHLM AB,en,False,,,,,,"Hej/Hi, My family and I speak both Swedish and English. So, if you speak one of them, you have come to the right place. I am a 57-year-old male with MS (multiple sclerosis), living in central Stockholm with my wife and daughter. I need assistance with all of my daily activities, such as mobility, dr..."
30696491,Senior Python Developer with AWS,SkillHuset Sweden AB,en,False,,,,,,"Requirements We are looking for senior Python Developer with AWS.   Job Responsibilities * Develop, and maintain backend services using AWS Serverless architecture. * Implement solutions using Python, following best practices for performance, scalability, and reliability. * Work with various AWS sto..."
30696447,Senior Power Electronics Engineer,Incluso AB,en,False,,,,,,"We seek a Senior Power Electronics Designer with strong knowledge of Power Electronics Technology, simulation, design and digital control to join Huawei R&D in Stockholm, Huawei’s Stockholm Digital Power Lab (Stockholm Research Center). The Lab is responsible for Digital Power Advanced Technology Re..."
30696370,Operator Relations Account Manager,Sinch Sweden AB,en,False,,,,,,"Sinch is pioneering the way the world communicates. More than 150,000 businesses — including Google, Uber, Paypal, Visa, Tinder, and many others — rely on Sinch’s Customer Communications Cloud to power engaging customer experiences through mobile messaging, voice, and email. Whether you need to veri..."
30696376,AML/CTF Change Specialist,Avaron AB,en,False,,,,,,"Om företaget Avaron AB är ett växande konsultbolag som matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Vi söker en erfaren konsult inom förändringsarbete kopplat till motverkande av penningtvätt (AML), finan..."
