job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30483720,QA Professional,Comstream AB,en,False,,,,,,"Our client is transforming the way companies use video for B2B communication. Video has long been a powerful tool, but creating and distributing it at scale has traditionally been too complex and costly. This company is changing that — offering plug-and-play video creation and distribution tools, in..."
30483656,Business Controller ,SJR in Sweden AB,sv,True,,,,,,"Som Business Controller med minst ett års erfarenhet av prognos, budget och forecast tar du nu nästa steg i karriären – där du verkligen får påverka, utvecklas och göra avtryck.  Om tjänsten Nu söker vi på SJR dig som vill jobba som konsult hos våra kunder. Vi har just nu en stor efterfrågan på dess..."
30483563,Senior Projektledare - IT,A-Talent Tech Management Sweden AB,sv,True,,,,,,Senior Projektledare – IT-transition & Digitala Arbetsplatstjänster  Konsultuppdrag med start i februari. Vi söker en erfaren och senior projektledare för ett strategiskt konsultuppdrag hos en större organisation. Uppdraget omfattar att leda och driva transitionen av Digitala Arbetsplatstjänster enl...
30482511,"Senior Contract Manager, Stockholm",Aurora Construction Consultancy AB,en,False,,,,,,"We are seeking a highly skilled Senior Contract Manager to join our growing team in Stockholm.   At Aurora Construction Consultancy, you’ll be part of a fast-paced, quality-driven environment that values collaboration, autonomy, and international standards of delivery. In this senior role, you will ..."
30483542,Payroll Operations Specialist – Stockholm,MultiMind Bemanning AB,en,False,,,,,,"We are now looking for an experienced Payroll Operations Specialist for one of our clients, a global and well-known company. The position is based in Stockholm and offers the opportunity to work in a fast-paced international environment. This is a consulting assignment (temporary position) with a st..."
30483480,Boendestödjare till Järva boendestöd,Stockholms kommun,sv,True,,,,,,"Stockholm – vår huvudstad med miljoner drömmar, förväntningar och ambitioner. Vi jobbar för alla som lever här idag och i framtiden. Nu söker vi dig som vill tänka stort, nytt och annorlunda med oss – för stockholmarna.    Välkommen till oss  Järva boendestöd har ca 25 medarbetare som ger insatser..."
30483441,Lastbilsmekaniker (Jordbro),Kraftsam Rekrytering & Bemanning AB,sv,True,,,,,,"Vi söker en engagerad lastbilsmekaniker i Stockholm (Jordbro)! Är du en skicklig mekaniker med erfarenhet av tunga fordon? Vill du bli en del av ett starkt team i en växande verksamhet? Då kan detta vara tjänsten för dig! Om rollen: Som lastbilsmekaniker hos oss ansvarar du för service, underhåll oc..."
30483384,Bolagsjurist – uppdrag i centrala Stockholm,Jurek Recruitment & Consulting AB,sv,True,,,,,,För kunds räkning söker vi bolagsjurist under en föräldraledighet fram till sommaren 2027. Har du erfarenhet som bolagsjurist eller från advokatbyrå och söker dig vidare efter spännande utmaningar?  Ditt uppdrag Som bolagsjurist blir du en viktig del av organisationen och ger juridiskt stöd mot orga...
30483312,Business Development Manager till Seriline,Needo Recruitment Sthlm AB,sv,True,,,,,,"Är du en relationsbyggande affärsutvecklare som gillar att vara i centrum? Trivs du med att arbeta från första kontakt till affär och långsiktigt partnerskap? Trivs du med att utbilda, utmana och utveckla kunder i tekniskt avancerade lösningar? Då är detta rollen för dig!   Om Seriline  Seriline är ..."
30483063,EU-samordnare för hälsopolitiska frågor på Socialdepartementet,Regeringskansliet,sv,True,,,,,,"Enheten för EU- och internationella frågor, Socialdepartementet Vill du bidra till samordning och utveckling av EU-frågor på Socialdepartementet? Har du erfarenhet av arbete med EU-frågor eller internationella frågor och har arbetat med samordnande uppgifter? Trivs du med omväxlande och komplexa upp..."
30482952,GIS - specialist,Statens Fastighetsverk,sv,True,,,,,,"Det är på regeringens uppdrag som Statens fastighetsverk (SFV) förvaltar vårt gemensamma natur- och kulturarv. Vi förvaltar en mångfald av statligt ägda fastigheter – däribland regeringsbyggnader, domstolar, slott och kungsgårdar, teatrar, museer, ambassader samt en sjundedel av landets yta beståend..."
30482937,Operatör - Museum Stckholm,Tempest Security Sverige AB,sv,True,,,,,,"Operatör – Museum Stockholm Väktare med inriktning på operatörsarbete  Vi har fortfarande lediga tjänster! Vill du arbeta i en roll där säkerhet, teknik och service samverkar i en unik miljö? Vi söker nu väktare med inriktning på operatörsarbete till vår bevakningscentral hos kund inom museiverksamh..."
30482843,Business Support Specialist – Sales to Contract (Senior level),Quattro Bemanning & Rekrytering AB,en,False,,,,,,Description We are now looking for an experienced Business Support Specialist – Sales to Contract for an exciting consulting assignment with a large organization within the construction and infrastructure sector. You will be part of a product team supporting the business in operational processes and...
30482808,Senior Software Engineer,Legora AB,en,False,,,,,,"The role As a Senior Software Engineer at Legora you will build, review and ship amazing products helping legal professionals all over the world in their day-to-day job. You’ll get the chance to work across the entire tech stack with clear ownership and autonomy. What you will be doing: Architect an..."
30482794,Förvaltningsledare IT,Ideella Fören Handelsanställdas Förbund Med Firm,sv,True,,,,,,"Förvaltningsledare IT – Vi söker dig med rätt personliga egenskaper! Vill du vara med och utveckla Handels IT-miljö och skapa värde för våra medlemmar? Vi söker en förvaltningsledare som brinner för struktur, kvalitet och samarbete. Hos oss är dina personliga egenskaper det som väger tyngst då vi tr..."
30482768,Resande säkerhetstekniker till Telehantering,Kraftsam Rekrytering & Bemanning AB,sv,True,,,,,,Vill du ha ett omväxlande arbete där du får resa runt i Sverige och arbeta med teknik som gör skillnad?  Telehantering söker nu en engagerad och kvalitetsmedveten säkerhetsteknik som vill vara med och stärka vår organisation för framtidens behov. Om företaget Telehantering är en erfaren aktör inom t...
30482746,Facklig rådgivare,Ideella Fören Handelsanställdas Förbund Med Firm,sv,True,,,,,,"Vill du vara med och skapa en rättvisare arbetsmarknad? Vi söker nu en engagerad facklig rådgivare till vårt kunniga team i Stockholm. Som rådgivare hos oss får du chansen att stötta och vägleda våra medlemmar i deras arbetsliv, i allt från lön och arbetstider till försäkringar, uppsägning och arbet..."
30482616,Gruppledare till Enheten för beroende och socialpsykiatri,Stockholms kommun,sv,True,,,,,,"Stockholm – vår huvudstad med miljoner drömmar, förväntningar och ambitioner. Vi jobbar för alla som lever här idag och i framtiden. Nu söker vi dig som vill tänka stort, nytt och annorlunda med oss – för stockholmarna.  Bromma stadsdelsförvaltning erbjuder dig en arbetsplats där dina insatser verkl..."
30482601,Larmoperatörer till vår SOC,Tempest Security Sverige AB,sv,True,,,,,,"Larmoperatör till vår SOC SOC (Security Operations Center) – Deltid & Behovsanställning  Om tjänsten Vi söker engagerade och serviceinriktade larmoperatörer för deltid och behovsanställning. Tjänsten innebär arbete dag, kväll och natt i vår moderna SOC på Kungsholmen. Hos oss blir du en viktig del a..."
30482584,Senior IT Transformation Lead (Sunsetting & Decommission),Avaron AB,sv,True,,,,,,"Om företaget Avaron AB är ett växande konsultbolag med fokus på teknik, finans och verksamhetsstöd. Vi matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Du kliver in i ett större strategiskt transformationspro..."
30482516,Spårsvetsare till Stockholm,Aura Personal AB,sv,True,,,,,,"Aura Train & Rail är ett nytt och nischat affärsområde inom Aura Personal, skapat för att möta tåg- och järnvägsbranschens växande behov av rätt kompetens – här och nu, och över tid. Just nu söker vi Spårsvetsare med placering i Stockholm!   Som spårsvetsare arbetar du i team med underhåll och nybyg..."
30482491,Backend Developer,Avaron AB,en,False,,,,,,"About the Company Avaron AB is a growing consultancy focused on technology, finance, and business support. We match your expertise with the market's most interesting assignments, offering a platform where your professional development is central. About the Assignment You will join a cross-functional..."
30482453,Domänarkitekt nätverk,Försvarets Materielverk,sv,True,,,,,,Har du erfarenhet av att designa och vidareutveckla säkra och stabila nätverkslösningar? Är du den nyfikna personen som gillar utmaningar? Har du viljan och förmågan att ständigt lära nytt och vara med att utveckla oss och dig själv? Vill du arbeta med en avancerad nätverksinfrastruktur i en organis...
30482429,Produktionsmedarbetare,Randstad AB,sv,True,,,,,,Arbetsbeskrivning Vi söker en driven person som vill växa i en roll med stort ansvar för flöde och noggrannhet. Du kommer att arbeta i en strukturerad miljö där ordning och reda är en förutsättning för framgång. Tjänsten erbjuder en möjlighet för dig som vill bygga på din erfarenhet och utvecklas i ...
30482403,Senior Projektledare Transition & Transformation,Avaron AB,sv,True,,,,,,"Om företaget Avaron AB är ett växande konsultbolag med fokus på teknik, finans och verksamhetsstöd. Vi matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Vi söker en senior projektledare som kan planera, koordi..."
30482397,Data Engineer,CDON AB,en,False,,,,,,"Want to be a key player building and operating the technical data foundation behind one of the Nordics’ most well-known e-commerce marketplaces? At CDON Group, data is a critical asset used across the entire organization, but also as a foundation for integrations, automation, and future AI-driven us..."
30482381,Transportchef till Åhléns DC Rosersberg,Åhléns AB,sv,True,,,,,,"Om din roll Som Transportchef ansvarar du för att våra transportflöden (intransporter och uttransporter och last mile) fungerar effektivt, säkert och kostnadseffektivt. Du säkerställer att våra speditörer och transportörer levererar enligt överenskomna ledtider, priser och kvalitetskrav samt att tul..."
30482143,Production Assistant,Flexijuice AB,en,False,,,,,,"FLEXIJUICE AB trades in hand-squeezed juices and non-alcoholic beverages. We are looking for a machine operator to oversee the production of our products. Health & Safety In the food industry, hygiene and quality are extremely important areas. Your safety is very important and we work according to r..."
30482214,IT Operations Manager,CDON AB,en,False,,,,,,"Want to be the key player keeping one of the Nordics' most well-known e-commerce marketplaces running smoothly, every single day? At CDON Group, our Stockholm office brings together developers, product teams, sales, customer service, and leadership, all depending on IT infrastructure that just works..."
30482102,Analytics Engineer,CDON AB,en,False,,,,,,"Want to be the key player building and shaping the data foundation behind one of the Nordics’ most well-known e-commerce marketplaces?  At CDON Group, data is a critical asset used across the entire organization — from product and marketing to finance and merchant success. We’re now rebuilding and m..."
30482011,Part-Time E-bike Delivery Rider – Evening Job in Stockholm City,Velove Bikes AB,en,False,,,,,,"Looking for a part-time   job in Stockholm that’s active, rewarding, and offers growth opportunities? If you’re passionate about sustainability and want to make a difference in the city, come ride with Velove as an E-Bike Delivery Rider! We are looking for Someone who enjoys being outdoors and stayi..."
30481896,Workday Payroll Integration Specialist (Consultant),Soros Consulting AB,en,False,,,,,,"We are looking for an experienced Workday Payroll Integration Specialist to join a global HR Tech environment in a hands-on consulting role. In this assignment, you will design, build, and maintain outbound payroll integrations from Workday to external payroll vendors across multiple countries, syst..."
30481905,Projektcontroller - interim,Eclipse Sverige AB,sv,True,,,,,,Till vår kund som arbetar med verksamhetskritisk infrastruktur söker vi en Projektcontroller för ett långt konsultuppdrag. Vår kunds controllerorganisation stöttar idag bolagets respektive affärsområde. Antalet nya projekt växer och därför söker vi en Projektcontroller. Rollen Som Projektcontroller ...
30481232,Nordic Fraud Analyst,Avida Finans AB (Publ),en,False,,,,,,"Are you passionate about fighting financial crime and making a real impact? As a Nordic Fraud Analyst at Avida, you will play an active role in shaping and enhancing our fraud prevention processes, routines, and frameworks. This is a unique opportunity to influence how fraud prevention is structured..."
30481822,Trädgårdsarbetare säsongsanställning,JM AB,sv,True,,,,,,"Nu söker vi två engagerade medarbetare till vår Mark- och Trädgårdsavdelning för säsongsanställning inom trädgårdsskötsel. Om tjänsten Tjänstens huvudsakliga uppgifter är grönyteskötsel så som ogräsrensning, gräsklippning, beskärning, bevattning och planteringsarbete. Mark- och Trädgårdsavdelningen ..."
30481548,Almia söker geriatriksjuksköterska till Stockholm,Almia AB,sv,True,,,,,,"Gör det som du älskar, som konsult! Kvalifikationer Vi söker dig med minst två års erfarenhet. Vi ser gärna att du som konsult har god samarbetsförmåga, är noggrann, och ansvarstagande. Arbetsuppgifter Som geriatriksjuksköterska hos Almia får du chansen att arbeta ute hos våra kunder med varierande ..."
30481453,Handläggare/Jurist till Förvaltningsavdelningen,Regeringskansliet,sv,True,,,,,,"Rättssekretariatet, Förvaltningsavdelningen Vill du bidra med din kompetens genom att ge kvalificerat stöd i frågor som rör bland annat utlämnande av allmänna handlingar samt offentlighet och sekretess? Har du en stark servicekänsla, god kommunikativ förmåga och trivs med att samarbeta med andra? Ho..."
30481439,Underhållsmekaniker | Another Snus Factory | Kungsängen,Lernia Bemanning AB,sv,True,,,,,,Vill du arbeta med avancerad finmekanik i en växande och innovativ produktionsmiljö? Hos Another Snus Factory får du en nyckelroll i underhållsteamet där du arbetar med toppmoderna snusmaskiner i en växande och innovativ produktionsmiljö. Vi söker nu en erfaren produktionsmekaniker som vill vara med...
30481309,Redovisningsekonom till statlig myndighet i Stockholm,Novare Bemanning AB,sv,True,,,,,,"Är du redovisningsekonom med statlig erfarenhet? Drivs du av att skapa förändring och nå uppsatta mål? Då har vi en möjlighet för dig! Just nu söker vi en erfaren redovisningsekonom till statlig myndighet i Stockholm.  För att lyckas med just din ansökan, tror vi på ett starkt samarbete som gör att ..."
30481264,Mejeri-Chaufförer CE Natt! till norra Stockholm,WeStaff Sweden AB,sv,True,,,,,,"WeStaff Sweden är ett växande konsult- och rekryteringsföretag i Sverige. Vi bemannar nu upp vår kund norr om Stockholm.  Vill du vara delaktig i ett gäng med trevliga kollegor?  Detta är riktigt bra distributions jobb. Fasta scheman deltid/extra, på sikt även heltid.  Utbildning startar i januari-2..."
30481144,Backend developer,Professional Galaxy AB,en,False,,,,,,"Professional Galaxy is an IT and technology consulting company that provides highly specialized expertise within IT, software development, SAP, purchasing, electronics and mechanical design. We collaborate with experienced senior experts and deliver strategic value-creating expertise to some of Swed..."
30481118,Business Performance Analyst,Embark Studios AB,en,False,,,,,,"As a Business Performance Analyst at Embark, you'll work with Data Scientists, Commercial team and key stakeholders to boost engagement, retention, and monetization of our games across different platforms, providing insights and recommendations. We are looking for a gaming enthusiast with business a..."
30480986,Handläggare med fokus på kommunikation,Stockholms kommun,sv,True,,,,,,"Stockholm – vår huvudstad med miljoner drömmar, förväntningar och ambitioner. Vi jobbar för alla som lever här idag och i framtiden. Nu söker vi dig som vill tänka stort, nytt och annorlunda med oss – för stockholmarna.    Vill du bidra till att göra information tydlig, tillgänglig och enkel att a..."
30481049,Postdoktor i aerosoltransport inom polarområdena,Stockholms Universitet,sv,True,,,,,,"Meteorologiska institutionen vid Stockholms universitet (MISU) bedriver forskning och undervisning som spänner över atmosfären, oceanen, och fysiskt baserad klimatvetenskap.  Vi erbjuder utbildningsprogram på kandidat-, master-, och forskarnivå. Vår forskning söker svar på grundläggande frågor om ..."
30480963,Barnvakt Nanny Södermalm 2 ggr/v,2007 Nannynu AB,sv,True,,,,,,"Om Nannynu! / About Nannynu! Vi är ett av Sveriges största, första och mest prisbelönta barnvaktsföretag och stolta över att ha bra villkor i linje med kollektivavtal för alla våra anställda barnvakter. Vi tror på att leverera barnvakter i världsklass och då vi är ett växande företag söker vi nu Dig..."
30480915,Skiftledare,Scandinavian Service Partner AB,sv,True,,,,,,"Med verksamhet i nästan 40 länder, över hela världen, är vårt syfte att vara den bästa delen av resan. Oavsett om våra kunder flyger utomlands på semester, åker på affärsresa eller pendlar till jobbet med tåg, strävar vi efter att erbjuda dem mat- och dryckesupplevelser som uppfyller deras många oli..."
30480940,Senior Projektör – Fiber & Ledningssamordning - Eltel,Studentconsulting Sweden AB (Publ),sv,True,,,,,,"Eltel söker nu en mycket erfaren projektör till sitt team i Bromma, med djup kompetens inom projektering av storskaliga fiber- och lågspänningsnät i komplexa miljöer.  Eltel är en ledande aktör i Norden inom el- och fiberinfrastruktur och spelar en viktig roll i utvecklingen av ett mer uppkopplat oc..."
30480823,"Farmaceut till Apotek Hjärtat, Skanstull",Apotek Hjärtat AB,sv,True,,,,,,Är du legitimerad farmaceut och är redo för din nästa utmaning? Vill du vara en del av en organisation där du kommer att ha ett nära samarbete med ditt team och stora möjligheter att utvecklas i olika roller? Välkommen till Apotek Hjärtat! Om jobbet som farmaceut på Hjärtat Som farmaceut på Hjärtat ...
30480785,HR-administratör till globalt bolag,Academic Work Sweden AB,sv,True,,,,,,"Vår kund, ett dynamiskt och framåtblickande företag, söker nu dig som är en driven HR-student i början av din karriär. Detta är en unik möjlighet att få en enastående start på din professionella bana, arbeta nära erfarna kollegor och bidra direkt till organisationens utveckling och globala expansion..."
30480769,HR-Specialist med inriktning arbetsrätt till Academic Work,Academic Work Sweden AB,sv,True,,,,,,Vi söker en expert inom arbetsrätt för att stötta chefer i komplexa ärenden. Din specialistkunskap driver vår framgång och bygger meningsfulla karriärer!  OM TJÄNSTEN  Som HR-specialist med inriktning mot arbetsrätt är ditt huvuduppdrag att ge kvalificerat stöd för att säkerställa regelefterlevnad o...
30480624,Sommarvikariat som kundtjänstmedarbetare till Stockholm city,Trafikverket,sv,True,,,,,,"På Trafikverket är du med och bidrar till ett samhälle som fungerar - idag och i framtiden. Genom vårt arbete med infrastruktur påverkar vi människors vardag i hela Sverige. Som sommarjobbare hos oss får du värdefull arbetslivserfarenhet, knyter nya kontakter och skaffar referenser, samtidigt som du..."
30480640,Ready to work for real? Get in touch – we’re hiring continuously.,Anne Blom Städ & Service AB,en,False,,,,,,"Want a job with real security, wellness benefits, and your salary paid on time? Then stop scrolling – Anne Blom Städ & Service delivers. No fuss. Here’s what you get: Competitive salary﻿ – fixed monthly pay under a union agreement 27 968 SEK/month Industry experience bonus – up to 1,500 SEK/month Dr..."
30480619,Customer Services Representative på deltid till HoistSpar,Charlie AB,sv,True,,,,,,Är du en engagerad och flexibel person som vill arbeta deltid med kunder i fokus? Har du även tidigare erfarenhet av kundsupport och att arbeta i en föränderlig miljö? HoistSpar söker nu energisk Customer Services Representative på deltid till deras Team i Stockholm med start omgående!  Du kommer at...
30480613,Senior Accounting specialist,Scania CV AB,en,False,,,,,,"At TRATON Charging Solutions, we believe in the power of collaboration—where the whole truly becomes greater than the sum of its parts. Together with TRATON Group brands, we are shaping the future of commercial transport with sustainable and innovative charging solutions. As a strategic investment o..."
30480372,gNodeB Architecture Realization (778856),Ericsson AB,en,False,,,,,,"Join our Team About this opportunity:    We are seeking an experienced and forward thinking gNodeB/NodeB Architecture Realization expert to join a medium sized, open culture team focused on shaping the future of RAN compute platforms. In this role you will influence decisions on future technology an..."
